frame,time_s,region,occupancy,current_flow_per_min,new_entry,count_motorbike,count_car,count_bus,count_truck
0,0.0,1,0,0.0,0,0,0,0,0
0,0.0,2,0,0.0,0,0,0,0,0
0,0.0,3,0,0.0,0,0,0,0,0
0,0.0,4,0,0.0,0,0,0,0,0
1,0.033,1,0,0.0,0,0,0,0,0
1,0.033,2,0,0.0,0,0,0,0,0
1,0.033,3,0,0.0,0,0,0,0,0
1,0.033,4,0,0.0,0,0,0,0,0
2,0.067,1,0,0.0,0,0,0,0,0
2,0.067,2,0,0.0,0,0,0,0,0
2,0.067,3,0,0.0,0,0,0,0,0
2,0.067,4,0,0.0,0,0,0,0,0
3,0.1,1,0,0.0,0,0,0,0,0
3,0.1,2,0,0.0,0,0,0,0,0
3,0.1,3,2,2.0,1,0,2,0,0
3,0.1,4,3,3.0,1,3,0,0,0
4,0.133,1,0,0.0,0,0,0,0,0
4,0.133,2,1,1.0,1,0,1,0,0
4,0.133,3,3,3.0,1,1,2,0,0
4,0.133,4,3,3.0,0,3,0,0,0
5,0.167,1,0,0.0,0,0,0,0,0
5,0.167,2,1,1.0,0,0,1,0,0
5,0.167,3,3,3.0,0,1,2,0,0
5,0.167,4,3,3.0,0,3,0,0,0
6,0.2,1,0,0.0,0,0,0,0,0
6,0.2,2,1,1.0,0,0,1,0,0
6,0.2,3,3,3.0,0,1,2,0,0
6,0.2,4,3,3.0,0,3,0,0,0
7,0.233,1,0,0.0,0,0,0,0,0
7,0.233,2,1,1.0,0,0,1,0,0
7,0.233,3,3,3.0,0,1,2,0,0
7,0.233,4,3,3.0,0,3,0,0,0
8,0.267,1,0,0.0,0,0,0,0,0
8,0.267,2,1,1.0,0,0,1,0,0
8,0.267,3,3,3.0,0,1,2,0,0
8,0.267,4,3,3.0,0,3,0,0,0
9,0.3,1,0,0.0,0,0,0,0,0
9,0.3,2,1,1.0,0,0,1,0,0
9,0.3,3,3,3.0,0,1,2,0,0
9,0.3,4,3,3.0,0,3,0,0,0
10,0.333,1,0,0.0,0,0,0,0,0
10,0.333,2,1,1.0,0,0,1,0,0
10,0.333,3,2,3.0,0,1,2,0,0
10,0.333,4,3,3.0,0,3,0,0,0
11,0.367,1,0,0.0,0,0,0,0,0
11,0.367,2,1,1.0,0,0,1,0,0
11,0.367,3,3,3.0,0,1,2,0,0
11,0.367,4,3,3.0,0,3,0,0,0
12,0.4,1,0,0.0,0,0,0,0,0
12,0.4,2,1,1.0,0,0,1,0,0
12,0.4,3,3,3.0,0,1,2,0,0
12,0.4,4,3,3.0,0,3,0,0,0
13,0.433,1,0,0.0,0,0,0,0,0
13,0.433,2,1,1.0,0,0,1,0,0
13,0.433,3,2,3.0,0,1,2,0,0
13,0.433,4,3,3.0,0,3,0,0,0
14,0.467,1,0,0.0,0,0,0,0,0
14,0.467,2,1,1.0,0,0,1,0,0
14,0.467,3,2,3.0,0,1,2,0,0
14,0.467,4,3,3.0,0,3,0,0,0
15,0.5,1,0,0.0,0,0,0,0,0
15,0.5,2,1,1.0,0,0,1,0,0
15,0.5,3,2,3.0,0,1,2,0,0
15,0.5,4,3,3.0,0,3,0,0,0
16,0.533,1,0,0.0,0,0,0,0,0
16,0.533,2,1,1.0,0,0,1,0,0
16,0.533,3,2,3.0,0,1,2,0,0
16,0.533,4,3,3.0,0,3,0,0,0
17,0.567,1,0,0.0,0,0,0,0,0
17,0.567,2,2,2.0,1,1,1,0,0
17,0.567,3,1,3.0,0,1,2,0,0
17,0.567,4,3,3.0,0,3,0,0,0
18,0.6,1,0,0.0,0,0,0,0,0
18,0.6,2,2,2.0,0,1,1,0,0
18,0.6,3,1,3.0,0,1,2,0,0
18,0.6,4,3,3.0,0,3,0,0,0
19,0.633,1,1,1.0,1,1,0,0,0
19,0.633,2,2,2.0,0,1,1,0,0
19,0.633,3,1,3.0,0,1,2,0,0
19,0.633,4,3,3.0,0,3,0,0,0
20,0.667,1,2,2.0,1,1,0,0,1
20,0.667,2,3,3.0,1,2,1,0,0
20,0.667,3,1,3.0,0,1,2,0,0
20,0.667,4,3,3.0,0,3,0,0,0
21,0.7,1,2,2.0,0,1,0,0,1
21,0.7,2,3,3.0,0,2,1,0,0
21,0.7,3,1,3.0,0,1,2,0,0
21,0.7,4,3,3.0,0,3,0,0,0
22,0.733,1,2,2.0,0,1,0,0,1
22,0.733,2,3,3.0,0,2,1,0,0
22,0.733,3,1,3.0,0,1,2,0,0
22,0.733,4,3,3.0,0,3,0,0,0
23,0.767,1,2,2.0,0,1,0,0,1
23,0.767,2,3,3.0,0,2,1,0,0
23,0.767,3,1,3.0,0,1,2,0,0
23,0.767,4,3,3.0,0,3,0,0,0
24,0.8,1,3,3.0,1,2,0,0,1
24,0.8,2,3,3.0,0,2,1,0,0
24,0.8,3,0,3.0,0,1,2,0,0
24,0.8,4,3,3.0,0,3,0,0,0
25,0.833,1,3,3.0,0,2,0,0,1
25,0.833,2,3,3.0,0,2,1,0,0
25,0.833,3,1,3.0,0,1,2,0,0
25,0.833,4,3,3.0,0,3,0,0,0
26,0.867,1,3,3.0,0,2,0,0,1
26,0.867,2,3,3.0,0,2,1,0,0
26,0.867,3,0,3.0,0,1,2,0,0
26,0.867,4,3,3.0,0,3,0,0,0
27,0.9,1,3,3.0,0,2,0,0,1
27,0.9,2,3,3.0,0,2,1,0,0
27,0.9,3,0,3.0,0,1,2,0,0
27,0.9,4,3,3.0,0,3,0,0,0
28,0.933,1,3,3.0,0,2,0,0,1
28,0.933,2,3,3.0,0,2,1,0,0
28,0.933,3,1,3.0,0,1,2,0,0
28,0.933,4,3,3.0,0,3,0,0,0
29,0.967,1,4,4.0,1,3,0,0,1
29,0.967,2,3,3.0,0,2,1,0,0
29,0.967,3,1,3.0,0,1,2,0,0
29,0.967,4,3,3.0,0,3,0,0,0
30,1.0,1,5,5.0,1,3,1,0,1
30,1.0,2,3,3.0,0,2,1,0,0
30,1.0,3,1,3.0,0,1,2,0,0
30,1.0,4,3,3.0,0,3,0,0,0
31,1.033,1,5,5.0,0,3,1,0,1
31,1.033,2,2,3.0,0,2,1,0,0
31,1.033,3,2,4.0,1,2,2,0,0
31,1.033,4,3,3.0,0,3,0,0,0
32,1.067,1,5,5.0,0,3,1,0,1
32,1.067,2,2,3.0,0,2,1,0,0
32,1.067,3,2,5.0,1,3,2,0,0
32,1.067,4,3,3.0,0,3,0,0,0
33,1.1,1,5,5.0,0,3,1,0,1
33,1.1,2,3,4.0,1,3,1,0,0
33,1.1,3,1,5.0,0,3,2,0,0
33,1.1,4,3,3.0,0,3,0,0,0
34,1.133,1,5,5.0,0,3,1,0,1
34,1.133,2,2,4.0,0,3,1,0,0
34,1.133,3,1,5.0,0,3,2,0,0
34,1.133,4,3,3.0,0,3,0,0,0
35,1.167,1,5,5.0,0,3,1,0,1
35,1.167,2,3,4.0,0,3,1,0,0
35,1.167,3,1,5.0,0,3,2,0,0
35,1.167,4,3,3.0,0,3,0,0,0
36,1.2,1,5,5.0,0,3,1,0,1
36,1.2,2,3,4.0,0,3,1,0,0
36,1.2,3,1,5.0,0,3,2,0,0
36,1.2,4,3,3.0,0,3,0,0,0
37,1.233,1,5,5.0,0,3,1,0,1
37,1.233,2,3,4.0,0,3,1,0,0
37,1.233,3,1,5.0,0,3,2,0,0
37,1.233,4,4,4.0,1,4,0,0,0
38,1.267,1,5,5.0,0,3,1,0,1
38,1.267,2,3,4.0,0,3,1,0,0
38,1.267,3,2,6.0,1,3,3,0,0
38,1.267,4,4,4.0,0,4,0,0,0
39,1.3,1,6,6.0,1,4,1,0,1
39,1.3,2,3,4.0,0,3,1,0,0
39,1.3,3,2,6.0,0,3,3,0,0
39,1.3,4,4,4.0,0,4,0,0,0
40,1.333,1,6,6.0,0,4,1,0,1
40,1.333,2,3,4.0,0,3,1,0,0
40,1.333,3,2,6.0,0,3,3,0,0
40,1.333,4,4,4.0,0,4,0,0,0
41,1.367,1,7,7.0,1,5,1,0,1
41,1.367,2,2,4.0,0,3,1,0,0
41,1.367,3,2,6.0,0,3,3,0,0
41,1.367,4,4,4.0,0,4,0,0,0
42,1.4,1,7,7.0,0,5,1,0,1
42,1.4,2,3,5.0,1,3,2,0,0
42,1.4,3,2,6.0,0,3,3,0,0
42,1.4,4,4,4.0,0,4,0,0,0
43,1.433,1,6,7.0,0,5,1,0,1
43,1.433,2,3,5.0,0,3,2,0,0
43,1.433,3,2,6.0,0,3,3,0,0
43,1.433,4,4,4.0,0,4,0,0,0
44,1.467,1,5,7.0,0,5,1,0,1
44,1.467,2,3,5.0,0,3,2,0,0
44,1.467,3,2,6.0,0,3,3,0,0
44,1.467,4,4,4.0,0,4,0,0,0
45,1.5,1,6,8.0,1,6,1,0,1
45,1.5,2,3,5.0,0,3,2,0,0
45,1.5,3,2,6.0,0,3,3,0,0
45,1.5,4,4,4.0,0,4,0,0,0
46,1.533,1,8,9.0,1,7,1,0,1
46,1.533,2,3,5.0,0,3,2,0,0
46,1.533,3,2,6.0,0,3,3,0,0
46,1.533,4,4,4.0,0,4,0,0,0
47,1.567,1,8,9.0,0,7,1,0,1
47,1.567,2,2,5.0,0,3,2,0,0
47,1.567,3,2,6.0,0,3,3,0,0
47,1.567,4,4,4.0,0,4,0,0,0
48,1.6,1,7,9.0,0,7,1,0,1
48,1.6,2,3,5.0,0,3,2,0,0
48,1.6,3,2,6.0,0,3,3,0,0
48,1.6,4,4,4.0,0,4,0,0,0
49,1.633,1,5,9.0,0,7,1,0,1
49,1.633,2,3,5.0,0,3,2,0,0
49,1.633,3,2,6.0,0,3,3,0,0
49,1.633,4,4,4.0,0,4,0,0,0
50,1.667,1,7,9.0,0,7,1,0,1
50,1.667,2,3,5.0,0,3,2,0,0
50,1.667,3,2,6.0,0,3,3,0,0
50,1.667,4,4,4.0,0,4,0,0,0
51,1.7,1,7,9.0,0,7,1,0,1
51,1.7,2,2,5.0,0,3,2,0,0
51,1.7,3,2,6.0,0,3,3,0,0
51,1.7,4,3,4.0,0,4,0,0,0
52,1.733,1,6,9.0,0,7,1,0,1
52,1.733,2,2,5.0,0,3,2,0,0
52,1.733,3,3,7.0,1,4,3,0,0
52,1.733,4,4,4.0,0,4,0,0,0
53,1.767,1,6,9.0,0,7,1,0,1
53,1.767,2,2,5.0,0,3,2,0,0
53,1.767,3,3,7.0,0,4,3,0,0
53,1.767,4,3,4.0,0,4,0,0,0
54,1.8,1,6,9.0,0,7,1,0,1
54,1.8,2,2,5.0,0,3,2,0,0
54,1.8,3,3,7.0,0,4,3,0,0
54,1.8,4,4,4.0,0,4,0,0,0
55,1.833,1,8,9.0,0,7,1,0,1
55,1.833,2,2,5.0,0,3,2,0,0
55,1.833,3,3,7.0,0,4,3,0,0
55,1.833,4,3,4.0,0,4,0,0,0
56,1.867,1,7,9.0,0,7,1,0,1
56,1.867,2,2,5.0,0,3,2,0,0
56,1.867,3,2,7.0,0,4,3,0,0
56,1.867,4,4,4.0,0,4,0,0,0
57,1.9,1,6,9.0,0,7,1,0,1
57,1.9,2,2,5.0,0,3,2,0,0
57,1.9,3,3,7.0,0,4,3,0,0
57,1.9,4,4,4.0,0,4,0,0,0
58,1.933,1,6,9.0,0,7,1,0,1
58,1.933,2,2,5.0,0,3,2,0,0
58,1.933,3,2,7.0,0,4,3,0,0
58,1.933,4,3,4.0,0,4,0,0,0
59,1.967,1,6,9.0,0,7,1,0,1
59,1.967,2,2,5.0,0,3,2,0,0
59,1.967,3,2,7.0,0,4,3,0,0
59,1.967,4,2,4.0,0,4,0,0,0
60,2.0,1,6,9.0,0,7,1,0,1
60,2.0,2,2,5.0,0,3,2,0,0
60,2.0,3,2,7.0,0,4,3,0,0
60,2.0,4,2,4.0,0,4,0,0,0
61,2.033,1,6,9.0,0,7,1,0,1
61,2.033,2,2,5.0,0,3,2,0,0
61,2.033,3,2,7.0,0,4,3,0,0
61,2.033,4,2,4.0,0,4,0,0,0
62,2.067,1,6,9.0,0,7,1,0,1
62,2.067,2,2,5.0,0,3,2,0,0
62,2.067,3,2,7.0,0,4,3,0,0
62,2.067,4,3,4.0,0,4,0,0,0
63,2.1,1,6,9.0,0,7,1,0,1
63,2.1,2,2,5.0,0,3,2,0,0
63,2.1,3,2,7.0,0,4,3,0,0
63,2.1,4,2,4.0,0,4,0,0,0
64,2.133,1,5,9.0,0,7,1,0,1
64,2.133,2,3,6.0,1,4,2,0,0
64,2.133,3,2,7.0,0,4,3,0,0
64,2.133,4,2,4.0,0,4,0,0,0
65,2.167,1,5,9.0,0,7,1,0,1
65,2.167,2,4,6.0,0,4,2,0,0
65,2.167,3,2,7.0,0,4,3,0,0
65,2.167,4,2,4.0,0,4,0,0,0
66,2.2,1,4,9.0,0,7,1,0,1
66,2.2,2,3,6.0,0,4,2,0,0
66,2.2,3,1,7.0,0,4,3,0,0
66,2.2,4,3,5.0,1,5,0,0,0
67,2.233,1,5,9.0,0,7,1,0,1
67,2.233,2,3,6.0,0,4,2,0,0
67,2.233,3,1,7.0,0,4,3,0,0
67,2.233,4,3,5.0,0,5,0,0,0
68,2.267,1,5,9.0,0,7,1,0,1
68,2.267,2,3,6.0,0,4,2,0,0
68,2.267,3,1,7.0,0,4,3,0,0
68,2.267,4,3,5.0,0,5,0,0,0
69,2.3,1,4,9.0,0,7,1,0,1
69,2.3,2,4,6.0,0,4,2,0,0
69,2.3,3,1,7.0,0,4,3,0,0
69,2.3,4,3,5.0,0,5,0,0,0
70,2.333,1,4,9.0,0,7,1,0,1
70,2.333,2,4,6.0,0,4,2,0,0
70,2.333,3,1,7.0,0,4,3,0,0
70,2.333,4,2,5.0,0,5,0,0,0
71,2.367,1,4,9.0,0,7,1,0,1
71,2.367,2,3,6.0,0,4,2,0,0
