epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.223,2.79447,3.7434,1.36721,0.00342,0.5337,0.15252,0.04551,2.57063,3.86579,1.20238,0.000362927,0.000362927,0.000362927
2,101.831,2.23548,2.20663,1.10982,0.75006,0.24921,0.49501,0.23518,2.32018,2.49996,1.1455,0.00073298,0.00073298,0.00073298
3,150.819,2.08911,1.77547,1.06513,0.50489,0.55328,0.51762,0.26225,2.30427,1.76643,1.11819,0.00110191,0.00110191,0.00110191
4,200.346,2.02624,1.55646,1.04494,0.49785,0.48249,0.50656,0.24663,2.31793,1.78857,1.18223,0.00110719,0.00110719,0.00110719
5,247.949,1.93519,1.34778,1.02339,0.69352,0.63812,0.65994,0.36791,2.20217,1.41032,1.092,0.00110423,0.00110423,0.00110423
6,298.493,1.88135,1.23553,1.00668,0.66545,0.69208,0.69481,0.36901,2.18792,1.32611,1.10406,0.00110043,0.00110043,0.00110043
7,349.544,1.82123,1.17042,0.99254,0.69991,0.68062,0.68916,0.37694,2.0265,1.32244,1.05262,0.0010958,0.0010958,0.0010958
8,401.024,1.7883,1.11396,0.984,0.67331,0.67866,0.68065,0.36763,2.08412,1.31562,1.06839,0.00109035,0.00109035,0.00109035
9,449.73,1.76452,1.09094,0.98029,0.73921,0.69178,0.69868,0.40755,2.17158,1.28758,1.0754,0.00108408,0.00108408,0.00108408
10,500.216,1.73706,1.05378,0.96992,0.75817,0.71218,0.71034,0.3899,2.05904,1.22954,1.06051,0.00107701,0.00107701,0.00107701
11,550.681,1.71168,1.04347,0.96417,0.74381,0.70325,0.71836,0.41723,2.03688,1.2713,1.05996,0.00106914,0.00106914,0.00106914
12,602.344,1.70851,1.02656,0.96599,0.74442,0.75266,0.7597,0.42907,1.9546,1.16551,1.01636,0.00106048,0.00106048,0.00106048
13,653.001,1.67358,1.00548,0.95963,0.66777,0.69148,0.68814,0.37092,2.10217,1.3622,1.09067,0.00105106,0.00105106,0.00105106
14,702.128,1.66698,0.99483,0.95692,0.75288,0.75871,0.76572,0.43883,1.95536,1.15836,1.0422,0.00104088,0.00104088,0.00104088
15,753.585,1.65266,0.9862,0.95488,0.80843,0.72664,0.77797,0.45948,1.94007,1.134,1.02662,0.00102996,0.00102996,0.00102996
16,804.537,1.63109,0.97915,0.94848,0.76053,0.70716,0.72098,0.40745,1.96951,1.2183,1.0331,0.00101832,0.00101832,0.00101832
17,856.257,1.62581,0.96468,0.94869,0.80924,0.75457,0.76525,0.43677,2.01327,1.16776,1.03584,0.00100597,0.00100597,0.00100597
18,905.52,1.62183,0.95561,0.94569,0.76723,0.71434,0.73854,0.3983,2.0174,1.20415,1.05499,0.000992936,0.000992936,0.000992936
19,956.409,1.61179,0.95098,0.94255,0.82272,0.76071,0.77786,0.43766,1.91272,1.11526,1.02129,0.000979236,0.000979236,0.000979236
20,1007.14,1.59263,0.93232,0.93865,0.78569,0.75766,0.77109,0.44469,1.94736,1.13573,1.03034,0.000964892,0.000964892,0.000964892
21,1059.62,1.58852,0.9328,0.9386,0.81788,0.78356,0.79322,0.45578,1.93551,1.10559,1.02194,0.000949925,0.000949925,0.000949925
22,1109.49,1.57475,0.92423,0.93547,0.76757,0.74525,0.77313,0.45243,1.9126,1.09486,1.01059,0.000934358,0.000934358,0.000934358
23,1159.53,1.55017,0.90276,0.92807,0.78181,0.77489,0.78944,0.44854,1.94553,1.0994,1.02854,0.000918216,0.000918216,0.000918216
24,1209.98,1.55996,0.90765,0.93251,0.81791,0.77724,0.78268,0.44876,1.83561,1.07763,0.99763,0.000901523,0.000901523,0.000901523
25,1262.17,1.54554,0.89896,0.92498,0.72194,0.73906,0.73704,0.42798,1.89363,1.11396,1.01412,0.000884305,0.000884305,0.000884305
26,1313.54,1.53022,0.8846,0.92399,0.83405,0.79122,0.78624,0.43514,1.98605,1.0779,1.0391,0.000866588,0.000866588,0.000866588
27,1365.54,1.50821,0.87476,0.91917,0.8076,0.79485,0.78343,0.47265,1.9359,1.05274,1.02681,0.0008484,0.0008484,0.0008484
28,1416.1,1.50761,0.86453,0.92381,0.81235,0.77568,0.77831,0.46343,1.95463,1.07139,1.03074,0.00082977,0.00082977,0.00082977
29,1467.98,1.50215,0.86987,0.92002,0.78967,0.79378,0.79566,0.47234,1.85726,1.03302,0.99628,0.000810725,0.000810725,0.000810725
30,1519.01,1.49813,0.86439,0.91897,0.81195,0.79764,0.80159,0.47738,1.85732,1.03643,1.00516,0.000791295,0.000791295,0.000791295
31,1570.2,1.48956,0.86701,0.9179,0.79554,0.78621,0.77813,0.44773,1.8955,1.07394,1.01883,0.00077151,0.00077151,0.00077151
32,1620.26,1.48549,0.85513,0.91329,0.84482,0.80011,0.81261,0.47272,1.85993,1.04197,1.00385,0.0007514,0.0007514,0.0007514
33,1671.93,1.4711,0.84659,0.91252,0.82581,0.8098,0.80746,0.47329,1.83866,1.01075,1.00359,0.000730997,0.000730997,0.000730997
34,1722.76,1.46369,0.8448,0.91449,0.80156,0.78671,0.80523,0.47085,1.85676,1.04092,1.00431,0.000710332,0.000710332,0.000710332
35,1774.97,1.45412,0.83107,0.9093,0.80828,0.79112,0.79721,0.47998,1.86304,1.0385,1.00562,0.000689437,0.000689437,0.000689437
36,1824.92,1.43973,0.83039,0.9037,0.80322,0.81162,0.81743,0.49138,1.79651,1.00052,0.98702,0.000668344,0.000668344,0.000668344
37,1876.58,1.43558,0.8209,0.90807,0.82238,0.80019,0.80001,0.47596,1.8462,1.01799,1.00825,0.000647085,0.000647085,0.000647085
38,1927.1,1.4323,0.81737,0.90754,0.81515,0.81155,0.81319,0.49148,1.79793,1.00304,0.99259,0.000625694,0.000625694,0.000625694
39,1978.95,1.4451,0.826,0.90764,0.82131,0.79907,0.81665,0.48845,1.77604,0.99268,0.98363,0.000604203,0.000604203,0.000604203
40,2029.2,1.42266,0.81056,0.90159,0.74497,0.79279,0.79991,0.46952,1.8249,1.03425,1.00093,0.000582646,0.000582646,0.000582646
41,2081.01,1.41552,0.80872,0.90125,0.79833,0.79429,0.79414,0.47245,1.86507,1.01786,1.00965,0.000561055,0.000561055,0.000561055
42,2132.48,1.40966,0.80039,0.90132,0.81987,0.80198,0.82821,0.49936,1.80919,0.97859,0.99832,0.000539464,0.000539464,0.000539464
43,2185.09,1.39981,0.79744,0.89835,0.82676,0.81508,0.81792,0.49187,1.7899,0.98116,0.99407,0.000517907,0.000517907,0.000517907
44,2236.53,1.37871,0.78454,0.89668,0.83543,0.81278,0.80955,0.47878,1.80546,1.00078,1.00256,0.000496416,0.000496416,0.000496416
45,2289.67,1.38495,0.78809,0.8954,0.85625,0.82363,0.82719,0.48532,1.82794,0.9918,1.00717,0.000475025,0.000475025,0.000475025
46,2340.91,1.36586,0.77101,0.89242,0.84597,0.80168,0.81111,0.48411,1.81318,0.99252,1.00288,0.000453766,0.000453766,0.000453766
47,2393.93,1.36774,0.77924,0.89586,0.80428,0.81008,0.81011,0.49411,1.82683,1.00311,0.99739,0.000432673,0.000432673,0.000432673
48,2444.78,1.36858,0.77452,0.89156,0.82803,0.80128,0.81643,0.49394,1.81322,0.99639,1.00037,0.000411778,0.000411778,0.000411778
49,2497.24,1.35554,0.76446,0.89074,0.84223,0.81087,0.81634,0.48753,1.80665,0.98402,0.99855,0.000391113,0.000391113,0.000391113
50,2548.96,1.3434,0.76039,0.8883,0.84512,0.81131,0.82474,0.50245,1.79901,0.97784,0.99896,0.00037071,0.00037071,0.00037071
51,2601.6,1.32989,0.75379,0.88469,0.8423,0.81403,0.82003,0.49333,1.7922,0.98872,1.00154,0.0003506,0.0003506,0.0003506
52,2652.35,1.33999,0.74885,0.88669,0.84967,0.8125,0.83052,0.50044,1.77805,0.98026,0.99806,0.000330815,0.000330815,0.000330815
53,2703.84,1.32348,0.74396,0.88414,0.83368,0.80729,0.81343,0.49687,1.83441,1.0025,1.0073,0.000311385,0.000311385,0.000311385
54,2754.84,1.32309,0.74424,0.88269,0.81582,0.8128,0.81189,0.4927,1.80145,0.98533,0.99623,0.00029234,0.00029234,0.00029234
55,2807.75,1.31619,0.7384,0.88427,0.85177,0.81983,0.83273,0.49932,1.81612,0.96041,1.00554,0.00027371,0.00027371,0.00027371
56,2858.74,1.30937,0.72912,0.88409,0.86985,0.81205,0.81912,0.49562,1.8073,0.97097,1.00431,0.000255522,0.000255522,0.000255522
57,2910.88,1.30419,0.73334,0.88042,0.85433,0.81569,0.81655,0.49374,1.80856,0.96474,1.00389,0.000237805,0.000237805,0.000237805
58,2962.41,1.29738,0.73192,0.87853,0.85648,0.82022,0.83136,0.50743,1.78142,0.95846,0.99664,0.000220587,0.000220587,0.000220587
59,3014.41,1.29966,0.72551,0.87859,0.8565,0.81367,0.82251,0.49942,1.80841,0.98321,1.001,0.000203894,0.000203894,0.000203894
60,3065.5,1.27932,0.71333,0.87613,0.84974,0.81355,0.81741,0.50315,1.78489,0.96105,0.99433,0.000187752,0.000187752,0.000187752
61,3116.47,1.27877,0.71125,0.8762,0.82911,0.81488,0.81834,0.49724,1.79538,0.96301,1.00295,0.000172185,0.000172185,0.000172185
62,3168.88,1.26598,0.71084,0.87474,0.84537,0.81943,0.82057,0.49952,1.78426,0.96224,0.99645,0.000157218,0.000157218,0.000157218
63,3221.6,1.27034,0.70798,0.8762,0.84004,0.81509,0.82095,0.50238,1.78135,0.96188,0.99563,0.000142874,0.000142874,0.000142874
64,3271.71,1.25925,0.70475,0.87382,0.86292,0.82067,0.8291,0.50897,1.79356,0.95106,0.99787,0.000129174,0.000129174,0.000129174
65,3322.01,1.26211,0.70502,0.87383,0.86125,0.81551,0.82205,0.50467,1.78954,0.9554,0.99807,0.00011614,0.00011614,0.00011614
66,3374.39,1.25843,0.69857,0.86978,0.84093,0.82197,0.83007,0.50337,1.77775,0.95506,0.99566,0.000103792,0.000103792,0.000103792
67,3426.22,1.25281,0.69804,0.87078,0.85683,0.82074,0.82841,0.50855,1.79052,0.95837,0.99773,9.21498e-05,9.21498e-05,9.21498e-05
68,3478.21,1.24185,0.68752,0.86966,0.84872,0.81321,0.82775,0.50504,1.78492,0.95827,0.99534,8.12302e-05,8.12302e-05,8.12302e-05
69,3529.15,1.25222,0.69618,0.87098,0.8304,0.82412,0.82134,0.50279,1.78855,0.96097,0.99879,7.10504e-05,7.10504e-05,7.10504e-05
70,3581.73,1.23757,0.69217,0.86992,0.84499,0.82069,0.82437,0.50277,1.79566,0.96313,1.00035,6.16262e-05,6.16262e-05,6.16262e-05
71,3640.11,1.2168,0.6753,0.86745,0.84508,0.82705,0.82749,0.50314,1.78669,0.95449,1.00018,5.29721e-05,5.29721e-05,5.29721e-05
72,3691.3,1.20458,0.67029,0.86555,0.84093,0.82318,0.82573,0.50063,1.79916,0.96134,1.00358,4.51014e-05,4.51014e-05,4.51014e-05
73,3740.32,1.19706,0.66453,0.86415,0.83681,0.82143,0.82189,0.4985,1.80041,0.96324,1.00422,3.80262e-05,3.80262e-05,3.80262e-05
